"Brescia, Italy", 1988
"Manchester, England", 1987
"Montr\u00e9al, Quebec", 1997
"Sheffield, England", 1980
"Berlin, Germany", 1990
"Salerno, Italy", 1986
"Italy", 1993
"Stepney, London, England ", 1980
"Germany", 1990
"Belgium", 2000
"Canberra, Australia", 2006
"Melbourne, Victoria, Australia", 1997
"Lund, Sweden", 1995
"Freiberg, Saxony, Germany", 1998
"England", 2003
"Sydney, New South Wales, Australia", 2006
"Brooklyn, New York City", 1985
"London, England", 1994
"United Kingdom", 1986
"Reggio Emilia, Italy", 1985
"West Berlin, East Germany#Zones of occupation", 1988
"Netherlands", 2006
"Vienna, Austria", 1990
"Stafford, England", 1989
"Italy", 1988
"Den Haag, Netherlands", 2012
"Italy", 2010
"Bois-Colombes, Paris, France", 1987
"London, England Melbourne, Australia", 2004
"London, England", 1987
"Erfurt, Germany", 2000
"Hamburg, Germany", 1996
"Chicago, Illinois, United States", 1987
"Italy", 1987
"Nuremberg, Germany", 1992
"Oldham", 1980
"Nigeria", 1977
"Roseland, New Jersey, United States", 2002
"Paris, France", 1988
"Berkeley, California, United States", 2003
"Norwich, England", 1989
"Cleveland, Ohio United States", 1987
"Atlanta, Georgia, USA", 1994
"Melbourne, Florida", 1990
"Paramaribo, Suriname", 1993
"South Korea", 2001
"New York City, New York, United States", 2005
"London, England", 1986
"New York City, New York, United States", 1960
"Milan, Italy", 2003
"Philadelphia, Pennsylvania, United States", 1987
"Chicago, Illinois, United States", 1991
"Austin, Texas, Los Angeles, California, United States", 1996
"         Derry, Northern Ireland", 1992
"Stockholm, Sweden", 2006
"Roermond, Netherlands", 1990
"Melbourne, Victoria, Australia", 1978
"Chicago, Los Angeles", 2000
"London, England", 1990
"B\u00e2rlad, Romania", 1998
"Toronto, Ontario, Canada", 1995
"Toronto, Ontario, Canada", 1995
"New York City", 1989
"Washington, D.C., United States", 1992
"Queens, New York", 1989
"Istanbul, Turkey ", 1993
"Melbourne, Australia", 2004
"South London, United Kingdom", 2001
"Hamburg, Germany", 2001
"Basel, Switzerland", 1998
"Los Angeles, California", 1984
"Veenendaal, Netherlands", 1994
"Brooklyn, New York", 1994
"Stockholm, Sweden", 1980
"New York City, New York, United States", 2009
"{{flagicon", 2002
"Bucharest, Romania", 2006
"T\u00e4by Municipality", 2002
"{{flagicon", 1993
"Sydney, NSW, Australia", 1991
"Chicago, Illinois", 1976
"Kingston upon Hull", 1982
"London, England", 1995
"Chicago, Illinois, US", 1987
"Kyoto, Japan", 1988
"Chelmsford, Essex", 1992
"Atlanta, Georgia (U.S. state)", 1994
"Montreal, Quebec, Canada", 1993
"Brighton, United Kingdom Dublin, Republic of Ireland", 2003
"London, United Kingdom", 1990
"Netherlands", 1990
"Romeoville, Illinois, USA", 1994
"Piedmont, Italy", 1994
"Austria", 2004
"{{birth date and age", 1986
"London, England", 1996
"Holon, Israel", 2002
"Netherlands", 2005
"New York City, USA", 2004
"Buenos Aires, Argentina", 1983
"Los Angeles", 2006
"Miami, United States", 1993
"Stockholm, Sweden", 2009
"New York City, New York, United States", 2001
"Detroit, Michigan, United States", 1987
"New Jersey, United States", 1995
"New York City", 1980
"Braintree, Essex", 1997
"Kinston, North Carolina, United States", 1976
"San Francisco, United States", 1990
"Hastings, England", 1989
"New Jersey, United States", 1990
"New York City New Jersey", 1985
"Philadelphia, Pennsylvania", 1990
"Melbourne, Australia", 2004
"Oldham", 1992
"Brooklyn, New York, United States", 1985
"East Orange, New Jersey United States", 1992
"Richmond, Virginia, United States", 1989
"Toronto, Canada", 1995
"Philadelphia, Pennsylvania, United States", 1988
"Wrexham, North Wales, United Kingdom", 1988
"London, England", 1987
"Perth, Australia", 2011
"Chicago, Illinois, U.S. ", 2007
"Frankfurt, Germany", 1994
"Boulogne-sur-Seine, France", 1986
"Toulouse, France", 1992
"Salt Lake City, Utah, United States", 2003
"Barnes, London", 1981
"Frankfurt, Germany", 1993
"London, England", 1989
"USA", 1972
"Italy", 1994
"Pacific Palisades, Los Angeles, California, United States", 2006
"Nottingham, England", 2013
"Norwich, United Kingdom", 2008
"Toronto, Ontario, Canada", 1997
"Manchester, England", 1990
"Nantes, France", 2009
"Melbourne, Victoria (Australia)", 1999
"United States", 2002
"Frankfurt, Germany", 1993
"Neuilly-sur-Seine, France", 1994
"Nuremberg, West Germany", 2013
"Texas Detroit, Michigan", 1999
"Cavour (comune)", 1993
"{{flagicon", 2003
"Orlando, Florida", 1988
"San Francisco, California, United States", 1990
"Athens, Greece", 1997
"Germany", 1994
"Recklinghausen, Germany", 1994
"Sheffield, South Yorkshire, England", 1994
"Munich, Germany", 1991
"Petticoat Lane, Spitalfields, London", 1979
"Germany", 1990
"Toronto, Ontario, Canada", 2005
"Miami, Florida", 1991
"Queens, New York, United States", 2001
"United Kingdom", 1996
"Glasgow, Scotland", 1992
"Groningen, Netherlands", 2003
"Southend, Essex, England", 1990
"Israel", 1993
"France", 2001
"London, United Kingdom", 1992
"Chicago, Illinois, United States", 1990
"London, England", 1980
"Chicago, USA", 1985
"United Kingdom", 1990
"Italy", 1999
"Chapel Hill, North Carolina", 2010
"Marrakech, Morocco", 2008
"Manchester, England", 1994
"Berlin, Germany", 1988
"Morocco", 1991
"Los Angeles, California", 1990
"Puerto Rico", 1996
"Queens, New York, United States ", 1992
"Fagagna, Italy", 1984
"Moscow, Soviet Union", 2008
"Lisbon, Portugal", 1992
"Copenhagen, Denmark", 1995
"Atlanta, Georgia (U.S. state)", 1985
"United Kingdom", 1988
"Croydon, London, England", 1990
"The Hague, Netherlands", 1997
"Bangor, Gwynedd", 1989
"Aix-en-Provence, France", 1999
"Queens, New York, U.S.A.", 2000
"Aberdeen, Scotland", 1985
"Eindhoven, The Netherlands", 2001
"Glasgow, Scotland", 1998
"London, England", 1988
"Venice, Italy", 1997
"Chicago, Illinois, United States", 1985
"Stockholm, Sweden", 2001
"Newport Beach, California, United States", 1996
"Etterbeek, Brussels, Belgium", 2005
"", 1991
"Essex, England", 1991
"Guadalajara, Jalisco", 1998
"London, England", 1993
"Stockholm, Sweden", 2005
"Aalst, Belgium", 1988
"Stuttgart, Germany", 1996
"Montreal, Quebec, Canada", 2001
"ydney", 2005
"Bloomfield, New Jersey", 1992
"Manchester, United Kingdom", 1991
"France {{flagicon", 2007
"Paris, France", 2008
"Romford, Greater London, England", 1980
"Philadelphia, USA", 1994
"Harrogate, North Yorkshire, England", 1990
"Brooklyn, New York City, New York, United States", 1980
"Bucharest, Romania", 2000
"Cologne, Germany", 1991
"{{flagicon", 2005
"Israel", 2001
