"Macon, Georgia , United States", 1969
"Marietta, Georgia, United States", 1989
"Akron, Ohio, United States", 2001
"Princeton, New Jersey", 1987
"Austin, Texas", 1996
"Deptford, London, England", 1977
"London, England", 1968
"San Angelo, Texas", 1996
"Middlesbrough, England", 1978
"Detroit, Michigan, United States", 1997
"Newcastle upon Tyne, England, UK", 1963
"England", 1969
"Tulsa, Oklahoma", 1963
"Texas, United States", 1974
"Cork (city)", 1963
"Dallas, Texas, U.S.", 1965
"Chicago, Illinois, United States ", 1980
"Fargo, North Dakota, United States", 1995
"Hernando, Mississippi, United States", 1996
"Manchester, England", 2000
"Germantown, Maryland", 1991
"London, England", 1962
"Houston, Texas, United States", 1969
"Middlesbrough, North Yorkshire, England, United Kingdom", 1978
"Sydney, Australia", 1973
"St. Louis, Missouri", 1999
"Austin, Texas", 1999
"Downpatrick and Newcastle, County Down, Northern Ireland", 2000
"Isle of Man", 2003
"Southampton, England", 2004
"22}}", 1964
"San Francisco, California", 1965
"Sydney", 1963
"Br\xc3\xb8nderslev, Denmark", 2003
"London, England", 1983
"England", 2005
"London, England, United Kingdom", 1973
"Los Angeles, California, United States", 1965
"Los Angeles, California, United States", 2011
"Stafford, England", 1968
"New Cross, London, England, United Kingdom", 2011
"London, England", 1966
"El Cerrito, California, United States", 1967
"Nashville, Tennessee, USA", 2009
" Los Angeles, California, United States", 2011
"Hertford, Hertfordshire, England", 1968
"London, England", 1970
"Jacksonville, Florida", 1994
"Austin, Texas, United States", 1978
"Brooklyn, New York City, New York, U.S.", 1997
"London, England", 1969
"Toledo, Ohio", 1995
"London, United Kingdom", 1967
"London, England", 1971
"London, England", 1968
"Waitsfield, Vermont", 2002
"Flint, Michigan, United States", 1969
"Los Angeles, California", 1977
"Cincinnati, Ohio", 1996
"England", 1963
"Southend on Sea, England ", 1987
"Cincinnati, Ohio", 2003
"Perth, Western Australia, Australia", 1965
"Saint Louis, Missouri, USA ", 1999
"San Francisco, USA", 1969
"Essex, England", 1969
"Worcester, Massachusetts", 1967
"New York City", 2005
"Blackpool and Luton, England", 1967
"London, United Kingdom", 1966
"New York City", 1991
"London, England", 1963
"United Kingdom", 1969
"Bath, Somerset", 2008